BldgGroupName,DataType,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Foxwoods Outlet Center,Percent of Sales,0.05115274026361282,0.05201119758056549,0.07960364574198286,0.07841833540749304,0.08016313038206235,0.0894895486893803,0.08986072817161729,0.09670971068026256,0.07574181038239722,0.08266041050802296,0.10845368982127333,0.1157350523713298
Gonzales Outlet Center,Percent of Sales,0.050612473725353324,0.04839239448523851,0.11256584214012567,0.08610847818748846,0.08935465741218851,0.09488412232510851,0.08721254846709219,0.056274616542405426,0.049242531774724124,0.07136536323540742,0.11451954647056008,0.1394674252343078
Grand Rapids Outlet Center,Percent of Sales,0.0446938021198953,0.04131778271057924,0.10194596645180243,0.07636100899927492,0.08383535680458698,0.08847763887438627,0.08803128043584851,0.11711928339466977,0.08227379284962122,0.07368908350990014,0.09542213361049981,0.10683287023893538
Hershey Outlet Center,Percent of Sales,0.04093979814525307,0.04218565124408223,0.09080077574358654,0.07637254770583557,0.08314362380140479,0.09460554914022591,0.0868438718589846,0.10723513715583394,0.07941412134032291,0.0747900495487198,0.1084254817773647,0.11524339253838593
Hilton Head Outlet Center,Percent of Sales,0.04082735425963263,0.044841122382879864,0.082094061663643,0.08042179935700623,0.08482015217610542,0.10683149341355085,0.10219570000189393,0.08829087998123024,0.07290828406312591,0.08289880249085618,0.09673115594553897,0.11713919426453684
Houston Outlet Center,Percent of Sales,0.052395621535875805,0.03849556704666022,0.10041865219956712,0.07758602271794586,0.08548450984814687,0.08852548672490979,0.09204254249861393,0.10078165954676094,0.057667703282604635,0.0664752765277583,0.09922944790537251,0.14089751016578395
Howell Outlet Center,Percent of Sales,0.0427154758888514,0.04125157800166712,0.09645063394858946,0.07365466722263217,0.08200807780649343,0.09026361330627468,0.08210652233824194,0.10559527335814832,0.08825288585190218,0.08267746382210901,0.10053754917387409,0.11448625928121627
Lancaster Outlet Center,Percent of Sales,0.04566073334913599,0.041156053723214535,0.08083193931776905,0.07393005056808333,0.07887214323396645,0.08665472996223637,0.08500968813630554,0.10047231032073874,0.07804091772514872,0.07953576097003177,0.12840582978202655,0.12142984291134294
Locust Grove Outlet Center,Percent of Sales,0.048490237188086587,0.052386140608622116,0.09541724511935892,0.08494416719680177,0.09163271547624705,0.09128762031128096,0.0987477952225416,0.06825415609235415,0.0664003511834329,0.0642877395476377,0.09909610332564919,0.13905572872798705
Mebane Outlet Center,Percent of Sales,0.04230382814400855,0.04156458598952342,0.09067382852550653,0.08189624347867393,0.08201150585492077,0.08930454579128498,0.08341517624832097,0.09202583770914528,0.07417452961471534,0.07004416854935668,0.1125371424111907,0.1400486076833529
Memphis Outlet Center,Percent of Sales,0.04434959744304168,0.03418183866686498,0.10145143861550336,0.08593664578287763,0.09594011036765962,0.09024806631225825,0.09502869449279587,0.07584453983628306,0.06484530348176631,0.06753940340010839,0.10378022484385352,0.14085413675698732
Myrtle Beach 17 Outlet Center,Percent of Sales,0.03370962780431334,0.03466598827891997,0.08156436420336052,0.08590286779701502,0.08172529273938145,0.11804695641340392,0.12252439309136089,0.11059981481223682,0.07896432345068782,0.06895057192228764,0.08753112907935012,0.09581467040768249
Myrtle Beach 501 Outlet Center,Percent of Sales,0.04287896062952745,0.044666148636829606,0.09718199680150907,0.09303376610262587,0.08043340655359865,0.10303079947645062,0.10994808778011061,0.1070558930122659,0.07557354232463748,0.06642091223215475,0.0855933528795323,0.09418313357075768
National Harbor Outlet Center,Percent of Sales,0.04201013355563176,0.03966870271696754,0.0796554758911084,0.07641336420459446,0.08806978412666577,0.09553742091079,0.08900377556190647,0.09361475904676263,0.08469572919425072,0.07422405325217184,0.10331733421965653,0.1337894673194939
Ottawa Outlet Center,Percent of Sales,0,0.029655813087537376,0.08803817065253638,0.02314559563908132,0.0033767884858674343,0.11743231278479178,0.12688071481884908,0.14735719836867608,0.1274856794797362,0.0946838900915417,0.12577673698395117,0.11616709960743146
Pittsburgh Outlet Center,Percent of Sales,0.03603062512682995,0.03888317231001458,0.09544811545503122,0.0781453899827137,0.08194610330379039,0.087416358757495,0.08506877817939988,0.11862470873325688,0.07498655008116965,0.06443098378695697,0.11383311446350676,0.12518609981983497
Rehoboth Beach Outlet Center,Percent of Sales,0.03740547346315353,0.035111082277706186,0.07292866645691694,0.07011254500032423,0.07892514139777815,0.10303461958823672,0.10457124898949792,0.11615374742048412,0.09181146218541203,0.07211739261991612,0.10747410880780964,0.11035451179276437
Riverhead Outlet Center,Percent of Sales,0.04554175073551401,0.039589188035619685,0.0722234308366883,0.0687544262314383,0.08526615471295877,0.09455070054478218,0.08726626660531504,0.09468937232933843,0.09268455558924829,0.07664568277615687,0.11335191802596738,0.1294365535769727
San Marcos Outlet Center,Percent of Sales,0.0470575642085013,0.03488400145230961,0.10030861576068723,0.07677786789987195,0.0813253050187479,0.08942380069206857,0.10504186662033017,0.10949126660431294,0.06880143622460799,0.06805161951206219,0.09746855639643058,0.12136809961006963
Savannah Outlets,Percent of Sales,0.04680403327337907,0.04938981785683018,0.09477834895493734,0.08387189370691227,0.08778316904796606,0.08958370633108964,0.10311431459514236,0.0693892999772215,0.06645197540842286,0.07312411918862971,0.0985546895549404,0.13715463210452866
Sevierville Outlet Center,Percent of Sales,0.04819419457424435,0.04999586740679623,0.0952391994212835,0.08087731983256051,0.07541250740823294,0.09276470184390348,0.10224668737539132,0.07796426718710565,0.06925142563934575,0.08607929020028965,0.10383745218415032,0.11813708692669629
Tilton Outlet Center,Percent of Sales,0.04774353834943492,0.04774498837314699,0.07612610754361916,0.07041933979851646,0.06962043744799601,0.09917184480637424,0.09514590727817246,0.11202164990555809,0.09217801121645736,0.08281201856753079,0.10025369745805522,0.10676245925513836
Westgate Outlet,Percent of Sales,0.05022785434047524,0.056320029834961906,0.09766169759008236,0.08113917700933317,0.08406756729175206,0.07773686112058406,0.07962726227105962,0.06564785945710068,0.06622075828605681,0.072796243696614,0.10675772368588245,0.16179696541609762
